,NumberOfQuizzesTaken,CourseCategory_Arts,CourseCategory_Business,CourseCategory_Programming,NumberOfVideosWatched,DeviceType,CourseCategory_Science,CourseCategory_Health,target
76,1,0.0,0.0,1.0,18,1,0.0,0.0,0
77,10,0.0,0.0,0.0,18,0,0.0,1.0,1
78,4,0.0,1.0,0.0,7,0,0.0,0.0,1
79,5,0.0,0.0,0.0,12,0,0.0,1.0,0
80,2,0.0,0.0,0.0,5,1,0.0,1.0,0
81,7,0.0,1.0,0.0,11,1,0.0,0.0,1
82,2,0.0,0.0,0.0,9,1,0.0,1.0,0
83,4,0.0,0.0,0.0,7,1,0.0,1.0,1
84,7,0.0,0.0,0.0,19,0,0.0,1.0,1
85,2,0.0,1.0,0.0,4,0,0.0,0.0,0
86,10,0.0,0.0,0.0,3,1,1.0,0.0,0
87,7,0.0,0.0,0.0,4,1,0.0,1.0,0
88,0,0.0,0.0,0.0,10,1,0.0,1.0,1
89,6,0.0,0.0,0.0,12,0,0.0,1.0,1
90,4,0.0,0.0,0.0,9,1,0.0,1.0,1
91,5,1.0,0.0,0.0,1,1,0.0,0.0,0
92,9,1.0,0.0,0.0,20,1,0.0,0.0,1
93,7,0.0,0.0,0.0,11,0,1.0,0.0,0
94,2,0.0,1.0,0.0,19,1,0.0,0.0,1
95,2,0.0,0.0,1.0,9,1,0.0,0.0,0
96,6,0.0,0.0,1.0,18,1,0.0,0.0,0
97,3,0.0,0.0,0.0,9,0,0.0,1.0,1
98,2,0.0,0.0,0.0,18,1,0.0,1.0,0
99,5,0.0,0.0,0.0,2,0,0.0,1.0,0
100,1,0.0,0.0,0.0,16,0,0.0,1.0,1
101,9,0.0,1.0,0.0,0,0,0.0,0.0,0
102,0,0.0,0.0,0.0,9,0,0.0,1.0,1
103,9,0.0,0.0,0.0,14,0,0.0,1.0,0
104,8,1.0,0.0,0.0,19,0,0.0,0.0,1
105,4,0.0,0.0,1.0,17,1,0.0,0.0,0
106,7,0.0,1.0,0.0,19,1,0.0,0.0,1
107,5,1.0,0.0,0.0,8,1,0.0,0.0,0
108,5,1.0,0.0,0.0,19,0,0.0,0.0,0
109,10,0.0,1.0,0.0,4,1,0.0,0.0,0
110,0,0.0,0.0,0.0,0,1,0.0,1.0,0
111,8,0.0,0.0,1.0,10,0,0.0,0.0,0
112,5,0.0,0.0,1.0,15,1,0.0,0.0,1
113,7,1.0,0.0,0.0,9,0,0.0,0.0,0
114,0,0.0,1.0,0.0,4,1,0.0,0.0,0
115,6,1.0,0.0,0.0,0,0,0.0,0.0,0
116,9,0.0,0.0,0.0,0,1,1.0,0.0,0
117,8,0.0,0.0,0.0,6,0,0.0,1.0,1
118,6,0.0,1.0,0.0,20,0,0.0,0.0,1
119,3,0.0,0.0,1.0,13,0,0.0,0.0,0
120,10,1.0,0.0,0.0,4,0,0.0,0.0,0
121,0,0.0,0.0,0.0,18,0,1.0,0.0,0
122,2,0.0,1.0,0.0,6,1,0.0,0.0,0
123,1,0.0,0.0,0.0,18,0,1.0,0.0,1
124,10,0.0,0.0,0.0,15,1,1.0,0.0,1
125,6,0.0,1.0,0.0,0,0,0.0,0.0,0
126,6,0.0,0.0,0.0,11,0,0.0,1.0,0
127,6,0.0,1.0,0.0,11,0,0.0,0.0,1
128,7,0.0,0.0,0.0,15,1,1.0,0.0,1
129,5,1.0,0.0,0.0,8,0,0.0,0.0,0
130,2,0.0,1.0,0.0,6,0,0.0,0.0,0
131,7,0.0,0.0,0.0,3,0,0.0,1.0,1
132,9,0.0,0.0,0.0,8,1,0.0,1.0,1
133,10,0.0,0.0,1.0,6,0,0.0,0.0,1
134,6,0.0,1.0,0.0,7,0,0.0,0.0,1
135,6,0.0,0.0,0.0,20,0,1.0,0.0,1
136,4,0.0,1.0,0.0,8,1,0.0,0.0,1
137,8,0.0,0.0,1.0,5,1,0.0,0.0,0
138,7,1.0,0.0,0.0,2,0,0.0,0.0,1
139,4,1.0,0.0,0.0,19,1,0.0,0.0,1
140,7,0.0,0.0,1.0,0,0,0.0,0.0,0
141,1,0.0,1.0,0.0,4,0,0.0,0.0,0
142,0,0.0,1.0,0.0,9,1,0.0,0.0,0
143,9,0.0,0.0,0.0,0,0,0.0,1.0,1
144,6,0.0,0.0,1.0,13,1,0.0,0.0,0
145,9,0.0,0.0,0.0,11,0,0.0,1.0,1
146,4,0.0,0.0,1.0,8,0,0.0,0.0,0
147,2,0.0,0.0,1.0,15,0,0.0,0.0,1
148,8,1.0,0.0,0.0,20,0,0.0,0.0,0
149,10,0.0,0.0,0.0,20,1,0.0,1.0,0
150,1,0.0,0.0,1.0,10,1,0.0,0.0,0
151,7,0.0,0.0,1.0,20,0,0.0,0.0,1
152,2,0.0,1.0,0.0,14,0,0.0,0.0,0
153,4,0.0,0.0,1.0,19,1,0.0,0.0,1
154,4,0.0,1.0,0.0,19,0,0.0,0.0,1
155,0,0.0,0.0,0.0,18,1,0.0,1.0,0
156,9,1.0,0.0,0.0,14,0,0.0,0.0,1
157,6,0.0,0.0,0.0,15,1,0.0,1.0,0
158,9,0.0,0.0,0.0,12,1,0.0,1.0,1
159,9,0.0,1.0,0.0,9,0,0.0,0.0,0
160,10,0.0,0.0,0.0,8,1,1.0,0.0,0
161,10,0.0,0.0,1.0,4,0,0.0,0.0,0
162,4,1.0,0.0,0.0,2,0,0.0,0.0,1
163,6,1.0,0.0,0.0,4,1,0.0,0.0,0
164,10,0.0,0.0,0.0,18,1,1.0,0.0,1
165,8,0.0,0.0,0.0,12,0,1.0,0.0,0
166,3,0.0,1.0,0.0,19,1,0.0,0.0,0
167,3,1.0,0.0,0.0,1,1,0.0,0.0,0
168,8,1.0,0.0,0.0,3,1,0.0,0.0,1
169,9,0.0,1.0,0.0,13,0,0.0,0.0,1
170,4,0.0,0.0,0.0,3,1,0.0,1.0,0
171,9,1.0,0.0,0.0,17,0,0.0,0.0,1
172,4,1.0,0.0,0.0,17,1,0.0,0.0,1
173,1,0.0,0.0,1.0,2,1,0.0,0.0,0
174,6,0.0,1.0,0.0,1,0,0.0,0.0,0
175,4,0.0,0.0,1.0,13,1,0.0,0.0,1
176,6,1.0,0.0,0.0,10,1,0.0,0.0,1
177,6,0.0,1.0,0.0,10,1,0.0,0.0,1
178,1,1.0,0.0,0.0,15,1,0.0,0.0,0
179,2,1.0,0.0,0.0,5,1,0.0,0.0,0
180,4,1.0,0.0,0.0,14,0,0.0,0.0,1
181,7,0.0,1.0,0.0,14,0,0.0,0.0,0
182,8,0.0,0.0,1.0,17,1,0.0,0.0,1
183,0,0.0,0.0,0.0,13,1,1.0,0.0,1
184,5,1.0,0.0,0.0,2,0,0.0,0.0,0
185,8,0.0,0.0,0.0,8,1,1.0,0.0,0
186,9,1.0,0.0,0.0,12,1,0.0,0.0,1
187,3,1.0,0.0,0.0,17,1,0.0,0.0,0
188,3,0.0,0.0,1.0,16,1,0.0,0.0,1
189,5,0.0,1.0,0.0,19,0,0.0,0.0,1
190,10,1.0,0.0,0.0,12,0,0.0,0.0,1
191,10,0.0,1.0,0.0,8,1,0.0,0.0,0
192,4,0.0,0.0,0.0,0,1,0.0,1.0,0
193,5,0.0,1.0,0.0,19,1,0.0,0.0,1
194,8,0.0,1.0,0.0,10,0,0.0,0.0,1
195,0,0.0,1.0,0.0,17,0,0.0,0.0,1
196,1,0.0,0.0,0.0,19,0,1.0,0.0,0
197,3,1.0,0.0,0.0,3,0,0.0,0.0,0
198,4,0.0,0.0,1.0,7,0,0.0,0.0,1
199,5,0.0,1.0,0.0,15,0,0.0,0.0,1
200,3,0.0,1.0,0.0,7,1,0.0,0.0,1
201,10,0.0,0.0,0.0,5,0,1.0,0.0,1
202,9,0.0,1.0,0.0,14,1,0.0,0.0,0
203,2,0.0,0.0,0.0,8,0,1.0,0.0,0
204,1,0.0,0.0,1.0,12,0,0.0,0.0,0
205,1,0.0,0.0,0.0,2,0,1.0,0.0,0
206,8,0.0,0.0,0.0,6,1,0.0,1.0,0
207,9,0.0,0.0,0.0,6,1,0.0,1.0,0
208,10,0.0,0.0,1.0,4,0,0.0,0.0,0
209,6,0.0,0.0,0.0,15,1,1.0,0.0,1
210,7,0.0,0.0,0.0,16,1,0.0,1.0,0
211,9,0.0,1.0,0.0,20,1,0.0,0.0,1
212,9,0.0,0.0,1.0,16,0,0.0,0.0,1
213,9,0.0,1.0,0.0,19,1,0.0,0.0,1
214,9,0.0,1.0,0.0,8,1,0.0,0.0,1
215,1,0.0,0.0,0.0,8,0,1.0,0.0,0
216,3,0.0,1.0,0.0,2,0,0.0,0.0,0
217,4,0.0,1.0,0.0,11,1,0.0,0.0,1
218,7,0.0,1.0,0.0,4,1,0.0,0.0,0
219,10,0.0,0.0,0.0,1,1,0.0,1.0,0
220,9,1.0,0.0,0.0,11,1,0.0,0.0,1
221,2,0.0,1.0,0.0,18,0,0.0,0.0,0
222,3,0.0,1.0,0.0,5,1,0.0,0.0,1
223,3,0.0,0.0,0.0,13,1,1.0,0.0,1
224,5,0.0,0.0,1.0,11,0,0.0,0.0,1
225,4,0.0,1.0,0.0,2,1,0.0,0.0,0
226,10,1.0,0.0,0.0,12,1,0.0,0.0,0
227,0,0.0,1.0,0.0,13,0,0.0,0.0,0
228,3,1.0,0.0,0.0,18,0,0.0,0.0,0
229,2,0.0,1.0,0.0,10,0,0.0,0.0,1
230,8,0.0,0.0,0.0,13,1,1.0,0.0,1
231,2,0.0,0.0,0.0,12,1,1.0,0.0,0
232,5,0.0,0.0,0.0,13,0,1.0,0.0,0
233,3,0.0,0.0,0.0,10,1,0.0,1.0,0
234,7,0.0,0.0,0.0,0,1,0.0,1.0,0
235,6,0.0,0.0,1.0,16,1,0.0,0.0,1
236,7,0.0,0.0,0.0,10,0,0.0,1.0,0
237,3,0.0,0.0,1.0,0,1,0.0,0.0,0
238,9,0.0,1.0,0.0,8,1,0.0,0.0,1
239,1,1.0,0.0,0.0,18,0,0.0,0.0,0
240,6,0.0,0.0,1.0,6,0,0.0,0.0,1
241,5,0.0,0.0,1.0,4,0,0.0,0.0,1
242,8,0.0,0.0,0.0,12,1,1.0,0.0,1
243,10,1.0,0.0,0.0,9,0,0.0,0.0,1
244,8,0.0,0.0,1.0,20,0,0.0,0.0,0
245,10,0.0,0.0,0.0,15,1,1.0,0.0,1
246,7,1.0,0.0,0.0,7,1,0.0,0.0,1
247,7,0.0,1.0,0.0,2,0,0.0,0.0,0
248,5,0.0,1.0,0.0,12,0,0.0,0.0,1
249,8,0.0,1.0,0.0,11,1,0.0,0.0,0
250,6,0.0,1.0,0.0,2,0,0.0,0.0,0
251,4,0.0,0.0,0.0,19,1,0.0,1.0,1
252,1,1.0,0.0,0.0,8,0,0.0,0.0,0
253,6,0.0,0.0,0.0,4,1,1.0,0.0,0
254,3,0.0,0.0,0.0,9,1,0.0,1.0,0
255,8,0.0,0.0,0.0,13,1,1.0,0.0,1
256,3,0.0,1.0,0.0,3,1,0.0,0.0,0
257,10,0.0,0.0,0.0,1,1,0.0,1.0,0
258,5,0.0,0.0,0.0,13,1,0.0,1.0,1
259,8,0.0,0.0,0.0,6,1,1.0,0.0,0
260,0,0.0,0.0,0.0,11,1,1.0,0.0,0
261,1,1.0,0.0,0.0,14,1,0.0,0.0,0
262,4,1.0,0.0,0.0,7,1,0.0,0.0,1
263,7,0.0,1.0,0.0,8,1,0.0,0.0,1
264,7,0.0,1.0,0.0,2,1,0.0,0.0,1
265,2,0.0,0.0,0.0,11,0,1.0,0.0,0
266,9,0.0,0.0,1.0,1,1,0.0,0.0,0
267,9,0.0,0.0,0.0,13,0,0.0,1.0,0
268,3,0.0,1.0,0.0,4,0,0.0,0.0,0
269,3,0.0,0.0,1.0,16,0,0.0,0.0,0
270,3,0.0,1.0,0.0,9,1,0.0,0.0,0
271,7,0.0,0.0,1.0,1,0,0.0,0.0,0
272,5,0.0,0.0,1.0,4,0,0.0,0.0,0
273,9,0.0,0.0,0.0,19,0,0.0,1.0,0
274,1,0.0,0.0,1.0,13,1,0.0,0.0,0
275,3,0.0,0.0,0.0,0,1,0.0,1.0,0
276,4,0.0,0.0,1.0,3,1,0.0,0.0,1
277,10,0.0,0.0,0.0,14,1,0.0,1.0,0
278,4,0.0,0.0,0.0,5,1,0.0,1.0,0
279,0,0.0,0.0,1.0,15,1,0.0,0.0,0
280,5,0.0,1.0,0.0,5,1,0.0,0.0,0
281,10,0.0,0.0,0.0,10,0,1.0,0.0,0
282,0,0.0,1.0,0.0,3,0,0.0,0.0,0
283,5,0.0,1.0,0.0,13,1,0.0,0.0,1
284,2,0.0,0.0,0.0,9,1,0.0,1.0,0
285,10,0.0,0.0,0.0,12,0,0.0,1.0,1
286,10,0.0,0.0,0.0,9,1,0.0,1.0,1
287,5,1.0,0.0,0.0,17,1,0.0,0.0,1
288,2,1.0,0.0,0.0,15,0,0.0,0.0,0
289,9,0.0,0.0,0.0,16,1,0.0,1.0,0
290,6,0.0,1.0,0.0,2,1,0.0,0.0,0
291,4,0.0,0.0,1.0,1,1,0.0,0.0,0
292,7,0.0,0.0,1.0,20,0,0.0,0.0,1
293,2,0.0,0.0,0.0,0,0,0.0,1.0,0
294,0,0.0,0.0,1.0,16,1,0.0,0.0,0
295,9,0.0,1.0,0.0,15,1,0.0,0.0,1
296,3,0.0,0.0,0.0,4,1,0.0,1.0,0
297,8,0.0,0.0,0.0,8,1,1.0,0.0,0
298,0,0.0,0.0,1.0,19,1,0.0,0.0,0
299,9,0.0,0.0,0.0,8,1,0.0,1.0,0
300,2,0.0,0.0,1.0,0,0,0.0,0.0,0
301,1,0.0,0.0,1.0,10,0,0.0,0.0,0
302,3,0.0,1.0,0.0,1,0,0.0,0.0,0
303,9,0.0,1.0,0.0,9,1,0.0,0.0,1
304,4,0.0,1.0,0.0,9,1,0.0,0.0,0
305,3,0.0,1.0,0.0,17,1,0.0,0.0,0
306,9,0.0,0.0,0.0,0,0,0.0,1.0,0
307,10,1.0,0.0,0.0,1,0,0.0,0.0,1
308,7,0.0,1.0,0.0,6,1,0.0,0.0,1
309,10,1.0,0.0,0.0,16,0,0.0,0.0,1
310,2,1.0,0.0,0.0,10,0,0.0,0.0,0
311,7,0.0,0.0,0.0,6,0,1.0,0.0,1
312,1,0.0,0.0,0.0,15,0,1.0,0.0,0
313,0,0.0,0.0,1.0,11,0,0.0,0.0,1
314,2,0.0,0.0,1.0,18,0,0.0,0.0,0
315,8,0.0,0.0,0.0,8,1,1.0,0.0,1
316,4,0.0,1.0,0.0,2,0,0.0,0.0,0
317,10,0.0,0.0,1.0,1,0,0.0,0.0,1
318,10,0.0,0.0,0.0,13,0,1.0,0.0,0
319,9,0.0,0.0,0.0,7,0,1.0,0.0,1
320,7,1.0,0.0,0.0,15,0,0.0,0.0,0
321,6,0.0,1.0,0.0,15,0,0.0,0.0,0
322,9,0.0,0.0,0.0,10,1,1.0,0.0,1
323,2,0.0,0.0,1.0,12,0,0.0,0.0,0
324,8,0.0,1.0,0.0,18,1,0.0,0.0,1
325,10,0.0,1.0,0.0,17,1,0.0,0.0,1
326,3,0.0,0.0,1.0,2,1,0.0,0.0,0
327,5,1.0,0.0,0.0,10,0,0.0,0.0,1
328,4,0.0,0.0,1.0,11,0,0.0,0.0,1
329,0,1.0,0.0,0.0,9,0,0.0,0.0,0
330,0,0.0,0.0,1.0,4,0,0.0,0.0,0
331,8,0.0,0.0,1.0,0,1,0.0,0.0,1
332,8,0.0,0.0,1.0,16,0,0.0,0.0,0
333,9,0.0,1.0,0.0,16,1,0.0,0.0,1
334,7,0.0,0.0,0.0,20,0,0.0,1.0,0
335,6,0.0,0.0,1.0,20,1,0.0,0.0,1
336,3,1.0,0.0,0.0,9,1,0.0,0.0,0
337,9,0.0,0.0,1.0,0,1,0.0,0.0,0
338,10,0.0,1.0,0.0,7,1,0.0,0.0,0
339,2,0.0,0.0,0.0,5,0,1.0,0.0,0
340,3,0.0,0.0,0.0,4,1,1.0,0.0,0
341,5,0.0,0.0,0.0,7,0,1.0,0.0,1
342,8,0.0,0.0,0.0,19,1,1.0,0.0,0
343,2,0.0,0.0,1.0,12,1,0.0,0.0,0
344,6,0.0,0.0,1.0,10,1,0.0,0.0,1
345,7,1.0,0.0,0.0,2,1,0.0,0.0,0
346,9,0.0,0.0,0.0,15,0,0.0,1.0,1
347,4,0.0,0.0,1.0,1,1,0.0,0.0,0
348,8,0.0,0.0,1.0,6,0,0.0,0.0,0
349,2,1.0,0.0,0.0,9,1,0.0,0.0,1
350,8,1.0,0.0,0.0,2,0,0.0,0.0,1
352,8,0.0,0.0,0.0,6,0,1.0,0.0,0
353,4,0.0,0.0,1.0,1,1,0.0,0.0,0
354,7,0.0,0.0,1.0,0,0,0.0,0.0,1
355,10,0.0,0.0,0.0,12,1,1.0,0.0,1
356,4,1.0,0.0,0.0,9,1,0.0,0.0,1
357,8,1.0,0.0,0.0,2,1,0.0,0.0,0
358,6,0.0,0.0,0.0,17,0,0.0,1.0,1
359,1,0.0,0.0,1.0,6,1,0.0,0.0,0
360,6,0.0,0.0,1.0,0,1,0.0,0.0,0
361,3,0.0,0.0,0.0,18,0,0.0,1.0,0
362,10,0.0,1.0,0.0,15,0,0.0,0.0,1
363,0,0.0,0.0,1.0,3,0,0.0,0.0,0
364,4,0.0,0.0,1.0,19,0,0.0,0.0,1
365,10,0.0,0.0,0.0,4,1,1.0,0.0,0
366,1,0.0,0.0,0.0,3,1,1.0,0.0,0
367,7,0.0,0.0,1.0,17,1,0.0,0.0,1
368,4,0.0,1.0,0.0,8,0,0.0,0.0,1
369,6,0.0,0.0,0.0,8,1,0.0,1.0,1
370,1,0.0,0.0,0.0,6,0,0.0,1.0,0
371,1,0.0,0.0,1.0,4,1,0.0,0.0,0
372,6,0.0,0.0,1.0,19,1,0.0,0.0,1
373,4,0.0,1.0,0.0,17,0,0.0,0.0,1
374,8,0.0,0.0,0.0,3,1,1.0,0.0,0
375,1,0.0,0.0,1.0,15,1,0.0,0.0,0
376,2,0.0,0.0,0.0,20,1,1.0,0.0,0
377,1,1.0,0.0,0.0,0,1,0.0,0.0,1
378,0,0.0,0.0,1.0,5,0,0.0,0.0,0
379,3,0.0,0.0,0.0,4,1,1.0,0.0,0
380,7,0.0,0.0,0.0,10,1,1.0,0.0,1
381,3,0.0,0.0,0.0,19,0,1.0,0.0,0
382,5,0.0,0.0,0.0,15,1,1.0,0.0,1
384,9,1.0,0.0,0.0,3,0,0.0,0.0,0
385,3,0.0,0.0,0.0,9,1,0.0,1.0,0
386,8,0.0,1.0,0.0,3,1,0.0,0.0,0
387,2,1.0,0.0,0.0,3,0,0.0,0.0,0
388,6,0.0,0.0,1.0,10,1,0.0,0.0,1
389,0,0.0,0.0,1.0,18,0,0.0,0.0,0
390,5,1.0,0.0,0.0,9,1,0.0,0.0,1
391,6,0.0,1.0,0.0,17,1,0.0,0.0,1
392,8,0.0,0.0,0.0,19,0,0.0,1.0,1
393,9,0.0,0.0,0.0,0,1,1.0,0.0,1
394,2,0.0,0.0,0.0,8,1,0.0,1.0,1
395,0,1.0,0.0,0.0,4,1,0.0,0.0,0
396,8,0.0,0.0,0.0,10,1,0.0,1.0,0
397,7,0.0,1.0,0.0,14,0,0.0,0.0,1
398,3,0.0,0.0,1.0,15,0,0.0,0.0,0
399,5,0.0,0.0,0.0,10,0,0.0,1.0,1
400,8,0.0,0.0,1.0,9,0,0.0,0.0,1
401,2,1.0,0.0,0.0,15,0,0.0,0.0,0
402,1,1.0,0.0,0.0,20,1,0.0,0.0,0
403,9,0.0,1.0,0.0,18,1,0.0,0.0,0
404,8,0.0,1.0,0.0,19,0,0.0,0.0,1
405,9,0.0,0.0,1.0,0,0,0.0,0.0,0
406,1,0.0,0.0,0.0,20,1,1.0,0.0,0
407,1,0.0,1.0,0.0,3,1,0.0,0.0,0
408,5,1.0,0.0,0.0,3,0,0.0,0.0,1
409,8,0.0,1.0,0.0,18,1,0.0,0.0,1
410,1,1.0,0.0,0.0,17,1,0.0,0.0,0
411,3,1.0,0.0,0.0,17,1,0.0,0.0,0
412,4,1.0,0.0,0.0,7,0,0.0,0.0,1
413,1,0.0,0.0,0.0,4,1,1.0,0.0,0
414,1,0.0,1.0,0.0,8,1,0.0,0.0,0
415,3,0.0,0.0,1.0,18,0,0.0,0.0,0
416,2,0.0,0.0,1.0,9,0,0.0,0.0,0
417,2,0.0,0.0,0.0,7,1,1.0,0.0,1
418,6,0.0,1.0,0.0,11,1,0.0,0.0,1
419,3,0.0,1.0,0.0,4,1,0.0,0.0,0
420,5,0.0,1.0,0.0,15,0,0.0,0.0,1
421,0,1.0,0.0,0.0,2,0,0.0,0.0,0
422,4,0.0,0.0,0.0,14,1,1.0,0.0,0
423,5,1.0,0.0,0.0,3,0,0.0,0.0,0
424,3,0.0,0.0,1.0,6,1,0.0,0.0,0
425,10,0.0,0.0,0.0,9,1,0.0,1.0,0
426,9,0.0,0.0,0.0,11,0,1.0,0.0,0
427,8,0.0,0.0,0.0,13,1,1.0,0.0,0
428,9,1.0,0.0,0.0,18,0,0.0,0.0,0
429,6,0.0,0.0,1.0,7,1,0.0,0.0,1
430,7,0.0,0.0,0.0,18,0,1.0,0.0,1
431,3,0.0,0.0,0.0,19,0,1.0,0.0,0
432,10,0.0,0.0,0.0,3,1,1.0,0.0,0
433,5,1.0,0.0,0.0,7,1,0.0,0.0,1
434,1,0.0,0.0,0.0,13,0,1.0,0.0,0
435,3,0.0,0.0,0.0,4,0,1.0,0.0,0
436,10,0.0,0.0,0.0,15,0,0.0,1.0,1
437,7,1.0,0.0,0.0,18,0,0.0,0.0,1
438,7,0.0,0.0,0.0,6,0,1.0,0.0,0
439,6,1.0,0.0,0.0,14,1,0.0,0.0,1
440,9,0.0,0.0,0.0,9,1,1.0,0.0,1
441,8,0.0,0.0,0.0,19,1,0.0,1.0,1
442,0,0.0,1.0,0.0,13,0,0.0,0.0,0
443,9,0.0,0.0,0.0,2,1,0.0,1.0,0
445,7,0.0,0.0,0.0,18,0,1.0,0.0,0
446,6,0.0,0.0,1.0,10,0,0.0,0.0,1
447,4,0.0,0.0,0.0,1,0,1.0,0.0,0
448,0,0.0,0.0,1.0,4,1,0.0,0.0,0
449,1,1.0,0.0,0.0,3,0,0.0,0.0,0
450,2,0.0,0.0,0.0,6,1,0.0,1.0,1
451,4,0.0,0.0,0.0,6,1,1.0,0.0,1
452,2,0.0,0.0,1.0,11,0,0.0,0.0,0
453,0,0.0,0.0,1.0,19,1,0.0,0.0,1
454,2,0.0,0.0,1.0,10,0,0.0,0.0,0
455,3,0.0,0.0,1.0,15,1,0.0,0.0,0
457,5,1.0,0.0,0.0,19,1,0.0,0.0,1
458,9,0.0,0.0,0.0,15,1,1.0,0.0,0
459,6,0.0,0.0,0.0,20,1,0.0,1.0,1
460,10,1.0,0.0,0.0,13,0,0.0,0.0,1
461,7,0.0,0.0,0.0,1,0,1.0,0.0,0
462,6,1.0,0.0,0.0,13,0,0.0,0.0,1
463,1,0.0,1.0,0.0,20,1,0.0,0.0,0
