Extracurricular Activities_Yes,Previous Scores,Hours Studied,Sample Question Papers Practiced,Sleep Hours,Extracurricular Activities_No,target
1.0,67,3,6,8,0.0,52.0
0.0,60,5,0,9,1.0,49.0
0.0,85,7,7,8,1.0,77.0
1.0,57,5,2,5,0.0,41.0
0.0,70,5,0,8,1.0,56.0
0.0,99,5,5,7,1.0,89.0
0.0,85,3,7,9,1.0,65.0
1.0,76,1,2,4,0.0,49.0
0.0,53,9,2,4,1.0,47.0
1.0,64,1,4,7,0.0,37.0
0.0,66,3,7,9,1.0,48.0
1.0,79,4,8,9,0.0,61.0
1.0,99,1,8,9,0.0,77.0
1.0,99,1,3,9,0.0,75.0
0.0,62,8,7,5,1.0,57.0
0.0,70,2,4,6,1.0,45.0
0.0,86,8,2,9,1.0,82.0
0.0,99,7,4,5,1.0,90.0
0.0,68,2,1,7,1.0,42.0
0.0,86,6,5,9,1.0,74.0
0.0,69,6,0,8,1.0,60.0
0.0,90,3,5,9,1.0,73.0
1.0,65,2,4,9,0.0,40.0
0.0,59,1,8,4,1.0,32.0
0.0,77,6,6,8,1.0,67.0
1.0,58,5,5,9,0.0,46.0
0.0,66,9,6,9,1.0,65.0
1.0,64,1,9,9,0.0,42.0
0.0,79,7,4,5,1.0,69.0
0.0,77,5,0,7,1.0,62.0
1.0,91,5,8,4,0.0,75.0
1.0,62,2,4,9,0.0,40.0
0.0,68,3,3,7,1.0,43.0
1.0,54,7,5,4,0.0,42.0
0.0,98,6,4,4,1.0,84.0
0.0,42,2,0,4,1.0,15.0
0.0,49,6,1,9,1.0,39.0
0.0,54,2,3,5,1.0,26.0
0.0,95,2,7,9,1.0,73.0
0.0,55,2,4,9,1.0,34.0
1.0,56,3,6,7,0.0,34.0
1.0,58,2,1,6,0.0,37.0
1.0,50,4,7,6,0.0,34.0
0.0,87,9,4,6,1.0,85.0
1.0,44,6,3,7,0.0,31.0
0.0,44,1,8,8,1.0,18.0
1.0,97,8,5,7,0.0,92.0
0.0,53,7,3,4,1.0,44.0
0.0,89,3,7,9,1.0,72.0
0.0,65,1,2,8,1.0,40.0
0.0,47,5,9,4,1.0,31.0
1.0,46,8,6,9,0.0,44.0
0.0,55,1,3,4,1.0,27.0
1.0,94,1,3,7,0.0,66.0
0.0,53,4,9,6,1.0,34.0
0.0,76,8,8,8,1.0,70.0
0.0,95,5,1,9,1.0,81.0
1.0,80,2,0,5,0.0,56.0
0.0,43,6,6,9,1.0,30.0
1.0,75,5,7,6,0.0,60.0
0.0,87,2,2,9,1.0,64.0
1.0,95,3,1,5,0.0,74.0
1.0,56,9,3,7,0.0,52.0
1.0,86,7,1,9,0.0,84.0
0.0,75,7,1,8,1.0,66.0
0.0,45,6,4,7,1.0,32.0
1.0,55,8,9,5,0.0,47.0
0.0,68,4,4,4,1.0,51.0
0.0,75,8,7,9,1.0,67.0
0.0,77,4,8,7,1.0,57.0
1.0,76,8,1,9,0.0,71.0
1.0,87,9,0,8,0.0,86.0
0.0,96,3,2,9,1.0,77.0
1.0,87,3,5,7,0.0,72.0
0.0,49,2,4,6,1.0,24.0
0.0,80,3,7,7,1.0,60.0
1.0,75,3,7,5,0.0,55.0
1.0,68,5,1,7,0.0,54.0
0.0,53,5,8,8,1.0,39.0
0.0,43,2,3,7,1.0,19.0
0.0,83,6,0,7,1.0,68.0
1.0,95,5,1,8,0.0,83.0
1.0,81,6,5,7,0.0,72.0
0.0,75,1,4,8,1.0,49.0
0.0,89,5,6,5,1.0,74.0
1.0,84,9,8,8,0.0,86.0
0.0,52,2,5,5,1.0,26.0
1.0,85,1,5,5,0.0,60.0
1.0,57,9,1,8,0.0,54.0
0.0,72,9,6,7,1.0,73.0
0.0,60,9,1,9,1.0,61.0
1.0,55,6,6,6,0.0,45.0
0.0,54,8,7,9,1.0,57.0
1.0,93,1,0,8,0.0,68.0
1.0,96,4,8,7,0.0,72.0
1.0,44,1,7,5,0.0,17.0
0.0,45,8,8,4,1.0,37.0
0.0,77,1,4,6,1.0,54.0
0.0,42,3,3,9,1.0,22.0
1.0,87,4,0,7,0.0,73.0
1.0,51,8,8,6,0.0,47.0
1.0,75,6,3,4,0.0,63.0
1.0,72,7,3,4,0.0,63.0
0.0,75,8,3,4,1.0,68.0
0.0,72,2,1,9,1.0,52.0
